id,fips,statecode,state,county,jail,provider_name_2008,provider_type_2008,treated_2008,deaths_2008,adp_2008,mortality_rate_2008,suicide_deaths_2008,overdose_deaths_2008,illness_deaths_2008,illness_suicide_overdose_rate_2008,other_deaths_2008,homicide_deaths_2008,accident_deaths_2008,provider_name_2009,provider_type_2009,treated_2009,deaths_2009,adp_2009,mortality_rate_2009,suicide_deaths_2009,overdose_deaths_2009,illness_deaths_2009,illness_suicide_overdose_rate_2009,other_deaths_2009,homicide_deaths_2009,accident_deaths_2009,provider_name_2010,provider_type_2010,treated_2010,deaths_2010,adp_2010,mortality_rate_2010,suicide_deaths_2010,overdose_deaths_2010,illness_deaths_2010,illness_suicide_overdose_rate_2010,other_deaths_2010,homicide_deaths_2010,accident_deaths_2010,provider_name_2011,provider_type_2011,treated_2011,deaths_2011,adp_2011,mortality_rate_2011,suicide_deaths_2011,overdose_deaths_2011,illness_deaths_2011,illness_suicide_overdose_rate_2011,other_deaths_2011,homicide_deaths_2011,accident_deaths_2011,provider_name_2012,provider_type_2012,treated_2012,deaths_2012,adp_2012,mortality_rate_2012,suicide_deaths_2012,overdose_deaths_2012,illness_deaths_2012,illness_suicide_overdose_rate_2012,other_deaths_2012,homicide_deaths_2012,accident_deaths_2012,provider_name_2013,provider_type_2013,treated_2013,deaths_2013,adp_2013,mortality_rate_2013,suicide_deaths_2013,overdose_deaths_2013,illness_deaths_2013,illness_suicide_overdose_rate_2013,other_deaths_2013,homicide_deaths_2013,accident_deaths_2013,provider_name_2014,provider_type_2014,treated_2014,deaths_2014,adp_2014,mortality_rate_2014,suicide_deaths_2014,overdose_deaths_2014,illness_deaths_2014,illness_suicide_overdose_rate_2014,other_deaths_2014,homicide_deaths_2014,accident_deaths_2014,provider_name_2015,provider_type_2015,treated_2015,deaths_2015,adp_2015,mortality_rate_2015,suicide_deaths_2015,overdose_deaths_2015,illness_deaths_2015,illness_suicide_overdose_rate_2015,other_deaths_2015,homicide_deaths_2015,accident_deaths_2015,provider_name_2016,provider_type_2016,treated_2016,deaths_2016,adp_2016,mortality_rate_2016,suicide_deaths_2016,overdose_deaths_2016,illness_deaths_2016,illness_suicide_overdose_rate_2016,other_deaths_2016,homicide_deaths_2016,accident_deaths_2016,provider_name_2017,provider_type_2017,treated_2017,deaths_2017,adp_2017,mortality_rate_2017,suicide_deaths_2017,overdose_deaths_2017,illness_deaths_2017,illness_suicide_overdose_rate_2017,other_deaths_2017,homicide_deaths_2017,accident_deaths_2017,provider_name_2018,provider_type_2018,treated_2018,deaths_2018,adp_2018,mortality_rate_2018,suicide_deaths_2018,overdose_deaths_2018,illness_deaths_2018,illness_suicide_overdose_rate_2018,other_deaths_2018,homicide_deaths_2018,accident_deaths_2018,provider_name_2019,provider_type_2019,treated_2019,deaths_2019,adp_2019,mortality_rate_2019,suicide_deaths_2019,overdose_deaths_2019,illness_deaths_2019,illness_suicide_overdose_rate_2019,other_deaths_2019,homicide_deaths_2019,accident_deaths_2019
1,1003,AL,Alabama,Baldwin,Baldwin County Corr. Center,public,public,0,0,657,0,0,0,0,0,0,0,0,public,public,0,0,601,0,0,0,0,0,0,0,0,public,public,0,1,551,1.81488203266788,0,0,1,1.81488203266788,0,0,0,public,public,0,1,555,1.8018018018018,1,0,0,1.8018018018018,0,0,0,public,public,0,0,618,0,0,0,0,0,0,0,0,public,public,0,0,662,0,0,0,0,0,0,0,0,public,public,0,0,592,0,0,0,0,0,0,0,0,public,public,0,2,584,3.42465753424658,0,1,1,3.42465753424658,0,0,0,public/Quality Correctional Health Care,private,1,0,538,0,0,0,0,0,0,0,0,Quality Correctional Health Care,private,1,0,540,0,0,0,0,0,0,0,0,Quality Correctional Health Care,private,1,2,540,3.7037037037037,1,0,1,3.7037037037037,0,0,0,Quality Correctional Health Care,private,1,0,595,0,0,0,0,0,0,0,0
2,1015,AL,Alabama,Calhoun,Calhoun County Jail,public,public,0,0,474,0,0,0,0,0,0,0,0,public,public,0,1,531,1.88323917137476,0,0,1,1.88323917137476,0,0,0,public,public,0,1,555,1.8018018018018,0,0,1,1.8018018018018,0,0,0,public,public,0,0,532,0,0,0,0,0,0,0,0,public,public,0,0,468,0,0,0,0,0,0,0,0,public,public,0,1,445,2.24719101123596,0,0,1,2.24719101123596,0,0,0,public,public,0,0,405,0,0,0,0,0,0,0,0,public/Quality Correctional Health Care,private,1,1,440,2.27272727272727,1,0,0,2.27272727272727,0,0,0,Quality Correctional Health Care,private,1,0,447,0,0,0,0,0,0,0,0,Quality Correctional Health Care/Southern Health Partners,private,1,0,514,0,0,0,0,0,0,0,0,Southern Health Partners,private,1,1,565,1.76991150442478,0,1,0,1.76991150442478,0,0,0,Southern Health Partners,private,1,0,503,0,0,0,0,0,0,0,0
3,1055,AL,Alabama,Etowah,Etowah County Detention Center,Doctors' Care Family Medical Services,private,1,0,917,0,0,0,0,0,0,0,0,Doctors' Care Family Medical Services,private,1,0,853,0,0,0,0,0,0,0,0,Doctors' Care Family Medical Services,private,1,0,808,0,0,0,0,0,0,0,0,Doctors' Care Family Medical Services,private,1,2,820,2.4390243902439,0,0,2,2.4390243902439,0,0,0,Doctors' Care Family Medical Services,private,1,0,788,0,0,0,0,0,0,0,0,Doctors' Care Family Medical Services,private,1,1,840,1.19047619047619,0,0,1,1.19047619047619,0,0,0,Doctors' Care Family Medical Services,private,1,0,787,0,0,0,0,0,0,0,0,Doctors' Care Family Medical Services,private,1,0,722,0,0,0,0,0,0,0,0,Doctors' Care Family Medical Services,private,1,2,723,2.76625172890733,0,0,2,2.76625172890733,0,0,0,Doctors' Care Family Medical Services,private,1,1,857,1.16686114352392,0,1,0,1.16686114352392,0,0,0,Doctors' Care Family Medical Services,private,1,0,965,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
4,1069,AL,Alabama,Houston,Houston County Jail,public,public,0,1,481,2.07900207900208,0,0,1,2.07900207900208,0,0,0,public,public,0,0,496,0,0,0,0,0,0,0,0,public,public,0,0,569,0,0,0,0,0,0,0,0,public,public,0,0,334,0,0,0,0,0,0,0,0,public,public,0,1,370,2.7027027027027,0,0,1,2.7027027027027,0,0,0,public,public,0,0,330,0,0,0,0,0,0,0,0,public,public,0,0,354,0,0,0,0,0,0,0,0,public,public,0,1,288,3.47222222222222,1,0,0,3.47222222222222,0,0,0,public,public,0,2,298,6.71140939597315,0,0,2,6.71140939597315,0,0,0,public,public,0,0,282,0,0,0,0,0,0,0,0,public,public,0,0,318,0,0,0,0,0,0,0,0,public,public,0,1,370,2.7027027027027,1,0,0,2.7027027027027,0,0,0
5,1073,AL,Alabama,Jefferson,Jefferson County Birmingham Jail,Health Assurance,private,1,,1200,,,,,0,,,,Health Assurance,private,1,,976,,,,,0,,,,Health Assurance,private,1,,1189,,,,,0,,,,Health Assurance/Advanced Correctional Healthcare,private,1,,1189,,,,,0,,,,Advanced Correctional Healthcare,private,1,,1331,,,,,0,,,,Advanced Correctional Healthcare,private,1,1,1306,0.765696784073507,0,0,1,0.765696784073507,0,0,0,Advanced Correctional Healthcare,private,1,2,1050,1.9047619047619,0,0,2,1.9047619047619,0,0,0,Advanced Correctional Healthcare,private,1,0,790,0,0,0,0,0,0,0,0,Advanced Correctional Healthcare,private,1,0,744,0,0,0,0,0,0,0,0,Advanced Correctional Healthcare,private,1,0,777,0,0,0,0,0,0,0,0,Advanced Correctional Healthcare,private,1,2,1038,1.92678227360308,0,0,2,1.92678227360308,0,0,0,Advanced Correctional Healthcare,private,1,5,1025,4.87804878048781,1,1,2,3.90243902439024,0,1,0
13,1081,AL,Alabama,Lee,W.S. Buck Jones Detention Center,public,public,0,0,354,0,0,0,0,0,0,0,0,public,public,0,0,348,0,0,0,0,0,0,0,0,public,public,0,0,386,0,0,0,0,0,0,0,0,public,public,0,0,407,0,0,0,0,0,0,0,0,public,public,0,1,387,2.58397932816537,0,0,1,2.58397932816537,0,0,0,public,public,0,1,395,2.53164556962025,1,0,0,2.53164556962025,0,0,0,public,public,0,1,395,2.53164556962025,0,1,0,2.53164556962025,0,0,0,public,public,0,0,397,0,0,0,0,0,0,0,0,public,public,0,1,360,2.77777777777778,1,0,0,2.77777777777778,0,0,0,public,public,0,1,389,2.5706940874036,0,1,0,2.5706940874036,0,0,0,public,public,0,0,398,0,0,0,0,0,0,0,0,public,public,0,0,356,0,0,0,0,0,0,0,0
7,1089,AL,Alabama,Madison,Madison County Detention Facility,Advanced Correctional Healthcare,private,1,0,934,0,0,0,0,0,0,0,0,Advanced Correctional Healthcare,private,1,0,977,0,0,0,0,0,0,0,0,Advanced Correctional Healthcare,private,1,0,1020,0,0,0,0,0,0,0,0,Advanced Correctional Healthcare,private,1,2,935,2.13903743315508,1,0,1,2.13903743315508,0,0,0,Advanced Correctional Healthcare,private,1,2,987,2.02634245187437,1,0,1,2.02634245187437,0,0,0,Advanced Correctional Healthcare,private,1,3,982,3.05498981670061,0,0,2,2.03665987780041,0,0,1,Advanced Correctional Healthcare,private,1,0,914,0,0,0,0,0,0,0,0,Advanced Correctional Healthcare/Southern Health Partners,private,1,1,825,1.21212121212121,0,0,1,1.21212121212121,0,0,0,Southern Health Partners,private,1,0,847,0,0,0,0,0,0,0,0,Southern Health Partners,private,1,1,864,1.15740740740741,1,0,0,1.15740740740741,0,0,0,Southern Health Partners,private,1,0,958,0,0,0,0,0,0,0,0,Southern Health Partners,private,1,5,890,5.61797752808989,2,,,2.24719101123596,,,
8,1095,AL,Alabama,Marshall,Marshall County Jail,Southern Health Partners,private,1,0,220.81,0,0,0,0,0,0,0,0,Southern Health Partners,private,1,2,220.56,9.06782734856728,0,0,2,9.06782734856728,0,0,0,Southern Health Partners,private,1,0,214.67,0,0,0,0,0,0,0,0,Southern Health Partners,private,1,1,221.79,4.50876955678795,0,0,1,4.50876955678795,0,0,0,Southern Health Partners,private,1,0,212.46,0,0,0,0,0,0,0,0,Southern Health Partners,private,1,0,230.93,0,0,0,0,0,0,0,0,Southern Health Partners,private,1,0,242.17,0,0,0,0,0,0,0,0,Southern Health Partners/Advanced Correctional Healthcare,private,1,0,222.36,0,0,0,0,0,0,0,0,Advanced Correctional Healthcare,private,1,0,220.64,0,0,0,0,0,0,0,0,Advanced Correctional Healthcare,private,1,1,238.81,4.18742933712994,1,0,0,4.18742933712994,0,0,0,Advanced Correctional Healthcare,private,1,1,260.35,3.84098329172268,1,0,0,3.84098329172268,0,0,0,Advanced Correctional Healthcare/Southern Health Partners,private,1,,,,,,,,,,
9,1097,AL,Alabama,Mobile,Mobile County Metro Jail,Corizon Health,private,1,0,1450,0,0,0,0,0,0,0,0,Corizon Health,private,1,1,1500,0.666666666666667,1,0,0,0.666666666666667,0,0,0,Corizon Health,private,1,0,1450,0,0,0,0,0,0,0,0,Corizon Health,private,1,0,1482,0,0,0,0,0,0,0,0,Corizon Health,private,1,0,1738,0,0,0,0,0,0,0,0,Corizon Health,private,1,0,1738,0,0,0,0,0,0,0,0,"NaphCare, Inc.",private,1,0,1411,0,0,0,0,0,0,0,0,"NaphCare, Inc.",private,1,1,1265,0.790513833992095,0,0,1,0.790513833992095,0,0,0,"NaphCare, Inc.",private,1,3,1098,2.73224043715847,1,0,2,2.73224043715847,0,0,0,"NaphCare, Inc.",private,1,1,1116,0.896057347670251,1,0,0,0.896057347670251,0,0,0,"NaphCare, Inc.",private,1,1,1445,0.692041522491349,0,0,1,0.692041522491349,0,0,0,"NaphCare, Inc.",private,1,2,1609,1.24300807955252,1,0,1,1.24300807955252,0,0,0
6,1101,AL,Alabama,Montgomery,Mac Sim Butler Montgomery County Detention Facility,Quality Correctional Health Care,private,1,0,658,0,0,0,0,0,0,0,0,Quality Correctional Health Care,private,1,0,627,0,0,0,0,0,0,0,0,Quality Correctional Health Care,private,1,0,511,0,0,0,0,0,0,0,0,Quality Correctional Health Care,private,1,0,526,0,0,0,0,0,0,0,0,Quality Correctional Health Care,private,1,0,626,0,0,0,0,0,0,0,0,Quality Correctional Health Care,private,1,1,608,1.64473684210526,0,0,1,1.64473684210526,0,0,0,Quality Correctional Health Care,private,1,0,600,0,0,0,0,0,0,0,0,Quality Correctional Health Care,private,1,0,564,0,0,0,0,0,0,0,0,Quality Correctional Health Care,private,1,0,550,0,0,0,0,0,0,0,0,Quality Correctional Health Care,private,1,0,603,0,0,0,0,0,0,0,0,Quality Correctional Health Care,private,1,0,632,0,0,0,0,0,0,0,0,Quality Correctional Health Care,private,1,1,602,1.66112956810631,,,,0,,,
